,Lat,Long,JEM,DUR,CHU,CEB,CIB,GOB,MEA,MVER,None,Ratio,Source
SandiaCrest571,35.21,-106.45,0.05,0,0.1,0.5,0,0,0.1,0,0.25,0.75,CEB
NarbonaPass,36.094,-108.87,0.03,0,0.94,0,0,0,0.03,0,0,1,CHU
Crystal529,35.97,-109,0,0,0.77,0,0,0,0,0,0.23,0.77,CHU
Klagetoh69,35.5,-109.52,0,0,0,0,1,0,0,0,0,1,CIB
TurkeySprings29,35.4,-108.52,0,0,0,0,1,0,0,0,0,1,CIB
TurkeySprings30,35.4,-108.52,0,0,0,0,1,0,0,0,0,1,CIB
CrossCanyon090,35.67,-109.33,0,0,0,0,0.87,0,0,0,0.13,0.87,CIB
ElMorrow31,35.03,-108.35,0,0,0,0,0.84,0,0.045,0,0.11,0.89,CIB
SatanPass25,35.6,-108.13,0,0,0,0,0.71,0,0,0,0.29,0.71,CIB
ElMorrow32,35.03,-108.35,0,0,0,0,0.62,0,0.029,0,0.35,0.65,CIB
DefianceNaziliniWest046,35.87,-109.43,0,0,0,0,0.5,0,0,0,0.5,0.5,CIB
DefiancePlateau139,35.7,-109.37,0,0,0,0,0.5,0,0,0,0.5,0.5,CIB
NaziliniCanyon72,35.9,-109.43,0,0,0,0,0.5,0,0,0,0.5,0.5,CIB
PoolTablePines557,37.78,-106.82,0,0.76,0,0,0.048,0,0,0,0.19,0.81,DUR
PueblitaCanyon024,36.68,-107.32,0,0,0,0,0,0.91,0,0,0.091,0.91,GOB
PueblitaCanyon055,36.68,-107.32,0,0,0,0,0,0.91,0,0,0.091,0.91,GOB
Paliza043,35.7,-106.62,1,0,0,0,0,0,0,0,0,1,JEM
AbouselmanSpring555,35.8,-106.62,0.81,0.028,0,0,0,0,0,0,0.17,0.83,JEM
Baca558,35.82,-106.57,0.72,0,0,0,0,0,0,0,0.28,0.72,JEM
RitodelosFrijoles501,35.78,-106.28,0.6,0,0,0,0,0,0,0,0.4,0.6,JEM
CatMesa556,35.78,-106.61,0.57,0,0,0,0,0,0,0,0.43,0.57,JEM
